filename,label,img_dir
Image_1556.jpg,ORANGE TIP,data/train
Image_3777.jpg,MOURNING CLOAK,data/train
Image_3750.jpg,INDRA SWALLOW,data/train
Image_5037.jpg,BLUE MORPHO,data/train
Image_4539.jpg,ORANGE TIP,data/train
Image_4399.jpg,CAIRNS BIRDWING,data/train
Image_3695.jpg,YELLOW SWALLOW TAIL,data/train
Image_605.jpg,MILBERTS TORTOISESHELL,data/train
Image_3009.jpg,PEACOCK,data/train
Image_3587.jpg,SILVER SPOT SKIPPER,data/train
Image_1277.jpg,EASTERN PINE ELFIN,data/train
Image_4451.jpg,DANAID EGGFLY,data/train
Image_166.jpg,CLOUDED SULPHUR,data/train
Image_2062.jpg,PEACOCK,data/train
Image_2182.jpg,ORANGE TIP,data/train
Image_706.jpg,MOURNING CLOAK,data/train
Image_1371.jpg,WOOD SATYR,data/train
Image_2228.jpg,PAPER KITE,data/train
Image_317.jpg,BLUE MORPHO,data/train
Image_3890.jpg,RED CRACKER,data/train
Image_2298.jpg,CRECENT,data/train
Image_4914.jpg,TWO BARRED FLASHER,data/train
Image_4350.jpg,CLOUDED SULPHUR,data/train
Image_3970.jpg,GREY HAIRSTREAK,data/train
Image_2323.jpg,BLUE MORPHO,data/train
Image_5063.jpg,MESTRA,data/train
Image_1833.jpg,SOOTYWING,data/train
Image_3153.jpg,SOOTYWING,data/train
Image_3022.jpg,SCARCE SWALLOW,data/train
Image_3157.jpg,CRECENT,data/train
Image_279.jpg,GREY HAIRSTREAK,data/train
Image_2339.jpg,CHECQUERED SKIPPER,data/train
Image_2644.jpg,SLEEPY ORANGE,data/train
Image_5049.jpg,BANDED ORANGE HELICONIAN,data/train
Image_306.jpg,CAIRNS BIRDWING,data/train
Image_320.jpg,BLUE MORPHO,data/train
Image_3545.jpg,EASTERN PINE ELFIN,data/train
Image_3390.jpg,BANDED ORANGE HELICONIAN,data/train
Image_4577.jpg,SOUTHERN DOGFACE,data/train
Image_4999.jpg,EASTERN COMA,data/train
Image_2103.jpg,STRAITED QUEEN,data/train
Image_2023.jpg,BECKERS WHITE,data/train
Image_1548.jpg,TWO BARRED FLASHER,data/train
Image_2881.jpg,MOURNING CLOAK,data/train
Image_565.jpg,COMMON WOOD-NYMPH,data/train
Image_3734.jpg,TROPICAL LEAFWING,data/train
Image_1347.jpg,COPPER TAIL,data/train
Image_3742.jpg,PAINTED LADY,data/train
Image_849.jpg,PEACOCK,data/train
Image_2660.jpg,ATALA,data/train
Image_891.jpg,EASTERN PINE ELFIN,data/train
Image_3574.jpg,PAPER KITE,data/train
Image_4608.jpg,COMMON WOOD-NYMPH,data/train
Image_2257.jpg,PURPLE HAIRSTREAK,data/train
Image_1013.jpg,ORANGE TIP,data/train
Image_234.jpg,RED ADMIRAL,data/train
Image_2816.jpg,EASTERN COMA,data/train
Image_410.jpg,CHECQUERED SKIPPER,data/train
Image_4545.jpg,RED CRACKER,data/train
Image_2967.jpg,GREAT EGGFLY,data/train
Image_5167.jpg,CRECENT,data/train
Image_3263.jpg,BECKERS WHITE,data/train
Image_4458.jpg,CRIMSON PATCH,data/train
Image_1667.jpg,INDRA SWALLOW,data/train
Image_4771.jpg,CHECQUERED SKIPPER,data/train
Image_4296.jpg,COPPER TAIL,data/train
Image_2067.jpg,CABBAGE WHITE,data/train
Image_2921.jpg,BLACK HAIRSTREAK,data/train
Image_5008.jpg,CHECQUERED SKIPPER,data/train
Image_2064.jpg,METALMARK,data/train
Image_3222.jpg,BLACK HAIRSTREAK,data/train
Image_3369.jpg,SILVER SPOT SKIPPER,data/train
Image_2489.jpg,DANAID EGGFLY,data/train
Image_756.jpg,COMMON BANDED AWL,data/train
Image_420.jpg,YELLOW SWALLOW TAIL,data/train
Image_3669.jpg,BANDED ORANGE HELICONIAN,data/train
Image_1390.jpg,EASTERN COMA,data/train
Image_4717.jpg,WOOD SATYR,data/train
Image_4084.jpg,BROWN SIPROETA,data/train
Image_577.jpg,PURPLISH COPPER,data/train
Image_3142.jpg,ORANGE OAKLEAF,data/train
Image_3562.jpg,COMMON BANDED AWL,data/train
Image_3206.jpg,CRECENT,data/train
Image_4711.jpg,COPPER TAIL,data/train
Image_281.jpg,GREY HAIRSTREAK,data/train
Image_4588.jpg,ATALA,data/train
Image_3195.jpg,PAINTED LADY,data/train
Image_4681.jpg,COMMON WOOD-NYMPH,data/train
Image_707.jpg,CHESTNUT,data/train
Image_3964.jpg,SCARCE SWALLOW,data/train
Image_4970.jpg,VICEROY,data/train
Image_204.jpg,ATALA,data/train
Image_1105.jpg,ULYSES,data/train
Image_2612.jpg,VICEROY,data/train
Image_4995.jpg,MONARCH,data/train
Image_4046.jpg,JULIA,data/train
Image_402.jpg,COMMON WOOD-NYMPH,data/train
Image_4258.jpg,QUESTION MARK,data/train
Image_791.jpg,BLACK HAIRSTREAK,data/train
Image_704.jpg,TROPICAL LEAFWING,data/train
Image_878.jpg,CAIRNS BIRDWING,data/train
Image_1537.jpg,EASTERN COMA,data/train
Image_3183.jpg,BANDED ORANGE HELICONIAN,data/train
Image_702.jpg,IPHICLUS SISTER,data/train
Image_1573.jpg,ORANGE OAKLEAF,data/train
Image_1800.jpg,MONARCH,data/train
Image_2688.jpg,PIPEVINE SWALLOW,data/train
Image_3881.jpg,EASTERN COMA,data/train
Image_2991.jpg,PURPLISH COPPER,data/train
Image_163.jpg,ATALA,data/train
Image_3698.jpg,SOUTHERN DOGFACE,data/train
Image_2402.jpg,MANGROVE SKIPPER,data/train
Image_3955.jpg,APPOLLO,data/train
Image_1746.jpg,PIPEVINE SWALLOW,data/train
Image_2367.jpg,TROPICAL LEAFWING,data/train
Image_4703.jpg,MANGROVE SKIPPER,data/train
Image_3389.jpg,PEACOCK,data/train
Image_3954.jpg,JULIA,data/train
Image_3313.jpg,ULYSES,data/train
Image_3352.jpg,MONARCH,data/train
Image_2537.jpg,GREEN CELLED CATTLEHEART,data/train
Image_514.jpg,BROWN SIPROETA,data/train
Image_1425.jpg,MOURNING CLOAK,data/train
Image_3593.jpg,MALACHITE,data/train
Image_1050.jpg,ULYSES,data/train
Image_243.jpg,COMMON BANDED AWL,data/train
Image_935.jpg,CLEOPATRA,data/train
Image_369.jpg,JULIA,data/train
Image_2312.jpg,CRECENT,data/train
Image_2714.jpg,MANGROVE SKIPPER,data/train
Image_1313.jpg,CRECENT,data/train
Image_5193.jpg,WOOD SATYR,data/train
Image_2012.jpg,JULIA,data/train
Image_1036.jpg,MONARCH,data/train
Image_2293.jpg,PAINTED LADY,data/train
Image_4479.jpg,BLUE MORPHO,data/train
Image_1405.jpg,GREY HAIRSTREAK,data/train
Image_2304.jpg,MESTRA,data/train
Image_747.jpg,MILBERTS TORTOISESHELL,data/train
Image_3408.jpg,PAINTED LADY,data/train
Image_4409.jpg,EASTERN DAPPLE WHITE,data/train
Image_4882.jpg,GREY HAIRSTREAK,data/train
Image_2674.jpg,YELLOW SWALLOW TAIL,data/train
Image_424.jpg,ORANGE OAKLEAF,data/train
Image_4111.jpg,CHECQUERED SKIPPER,data/train
Image_2146.jpg,SLEEPY ORANGE,data/train
Image_784.jpg,MILBERTS TORTOISESHELL,data/train
